Chapter,Institution,Location,District,Charter Date,Status
Mu Eta,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Southeast,"September 6, 2008",Active
Mu Theta,Bethel University,"McKenzie, Tennessee",Southeast,"November 22, 2008",Inactive
Mu Iota,Jacksonville State University,"Jacksonville, Alabama",Southeast,"March 1, 2009",Active
Mu Kappa,Grand Valley State University,"Allendale, Michigan",North Central,"April 18, 2009",Active
Mu Lambda,University of Mary Hardin–Baylor,"Belton, Texas",Southwest,"April 24, 2009",Active
Mu Mu,University of Central Oklahoma,"Edmond, Oklahoma",Southwest,"April 26, 2009",Probation
Mu Nu,Christopher Newport University,"Newport News, Virginia",Northeast,"May 2, 2009",Active
Mu Xi,Muhlenberg College,"Allentown, Pennsylvania",Northeast,"May 8, 2009",Active
Mu Omicron,George Mason University,"Fairfax, Virginia",Northeast,"December 5, 2009",Active
Mu Pi,University of Oregon,"Eugene, Oregon",Western,"February 14, 2010",Active
Mu Rho,Benedict College,"Columbia, South Carolina",Southeast,"March 21, 2010",Active
Mu Sigma,Lincoln University,"Chester County, Pennsylvania",Northeast,"April 3, 2010",Active
Mu Tau,University of Texas at San Antonio,"San Antonio, Texas",Southwest,"April 24, 2010",Active
Mu Upsilon,Florida Gulf Coast University,"Fort Myers, Florida",Southeast,"April 30, 2010",Active
Mu Phi,Fullerton College,"Fullerton, California",Western,"October 3, 2010",Active
Mu Chi,University of Texas–Pan American,"Edinburg, Texas",Southwest,"November 20, 2010",Active
Mu Psi,Texas College,"Tyler, Texas",Southwest,"February 19, 2011",Inactive
Mu Omega,Huntingdon College,"Montgomery, Alabama",Southeast,"February 27, 2011",Active
Nu Alpha,Georgia State University,"Atlanta, Georgia",Southeast,"November 28, 2011",Active
Nu Beta,Texas Wesleyan University,"Fort Worth, Texas",Southwest,"March 4, 2012",Active
Nu Gamma,Robert Morris University,"Pittsburgh, Pennsylvania",Northeast,"August 14, 2012",Active
Nu Delta,McMurry University,"Abilene, Texas",Southwest,"May 4, 2013",Active
Nu Epsilon,Idaho State University,"Pocatello, Idaho",Western,"May 11, 2013",Active
Nu Zeta,Edinboro University of Pennsylvania,"Edinboro, Pennsylvania",Northeast,"December 11, 2013",Active
Nu Eta,Saint Augustine's University,"Raleigh, North Carolina",Southeast,"March 2, 2014",Active
Nu Theta,Northeastern University,"Boston, Massachusetts",Northeast,"April 13, 2014",Active
Nu Iota,Elizabeth City State University,"Elizabeth City, North Carolina",Southeast,"May 31, 2014",Active
Nu Kappa,Georgia Southern University,"Statesboro, Georgia",Southeast,"October 19, 2014",Active
Nu Lambda,Arkansas State University-Beebe,"Beebe, Arkansas",Southwest,"October 19, 2014",Probation
Nu Mu,Kennesaw State University,"Kennesaw, GA",Southeast,"April 16, 2015",Active
Nu Nu,University of Alabama,"Tuscaloosa, AL",Southeast,"April 21, 2015",Active
Nu Xi,University of Illinois at Urbana-Champaign,"Urbana, Illinois",North Central,"March 15, 2016",Active
Nu Omicron,University of New Haven,"West Haven, Connecticut",Northeast,"April 27, 2016",Active
Nu Pi,University of Illinois at Chicago,"Chicago, Illinois",North Central,"May 2, 2016",Active
Nu Rho,Old Dominion University,"Norfolk, Virginia",Northeast,"April 21, 2017",Active
Nu Sigma,"California State Polytechnic University, Pomona","Pomona, California",Western,"November 18, 2017",Active [2]
